	title	link	source	salary
0	Junior Manual QA	https://hh.ru/vacancy/49361439?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
1	Manual QA Engineer (Jackpot)	https://hh.ru/vacancy/50135100?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
2	Middle QA Engineer	https://hh.ru/vacancy/51409981?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
3	QA Engineer (Manual + Auto)	https://hh.ru/vacancy/48535843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
4	Middle/Senior Manual QA Engineer	https://hh.ru/vacancy/45187637?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
5	Senior QA Engineer	https://hh.ru/vacancy/50153927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
6	Senior QA Engineer	https://hh.ru/vacancy/50762836?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
7	Middle/Senior QA Engineer	https://hh.ru/vacancy/50762864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
8	Junior QA Automation Engineer	https://hh.ru/vacancy/51416713?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
9	Quality Assurance Engineer	https://hh.ru/vacancy/49117256?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
10	QA Engineer	https://hh.ru/vacancy/51412264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
11	Senior QA Automation Engineer	https://hh.ru/vacancy/50763045?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
12	Senior QA Automation Engineer (Java)	https://hh.ru/vacancy/51433052?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
13	Тестировщик ПО	https://hh.ru/vacancy/51258734?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 1000, 'max': None, 'currency': 'руб.'}
